File Name,Seller Name,Seller Tax ID,Client Name,Client Tax ID,Invoice Number,Invoice Date,Net Worth,VAT,Gross Worth
,Bailey PLC,918-95-6591,Turner Inc,998-92-7755,11926242,03/01/2012,3340.47,334.05,3674.52
,Johnson-Brooks,964-92-2746,"Proctor, Morgan and Williams",939-82-6262,51467723,04/21/2019,96817.20,9681.72,106498.92
,Ochoa-Scott,921-82-1053,Green LLC,965-99-1263,94138597,02/05/2018,1612.50,161.25,1773.75
,Decker PLC,957-87-4031,Boyle Ltd,993-86-3706,97511742,04/07/2016,314.93,431.49,4746.42
,"Solomon, Ford and Ellis",954-73-2478,Hamilton-Jackson,988-96-5706,74819543,10/07/2020,125.00,12.50,137.50
,"Snyder, Bryan and Booth",983-70-0913,Ashley-Perry,981-88-6259,94098997,10/04/2020,13846.77,1384.68,15231.45
,Chavez Ltd,904-77-6503,Roberts Ltd,956-94-0439,13507183,09/09/2015,1026.72,102.67,1129.39
,Duncan Ltd,964-84-8594,Edwards-Archer,909-91-4017,65498230,02/16/2021,45.50,4.55,50.05
,Rodriguez-Barnett,986-88-3758,"Le, Lawson and Rios",967-80-5679,48531206,08/03/2019,5587.91,558.79,6146.70
,Daniel-Morrison,995-99-6193,"Snyder, Benton and Reed",999-86-4010,82977013,12/06/2013,244.99,24.50,269.49
,Collins Group,942-76-9532,Pope LLC,918-70-1520,86225018,12/18/2015,5409.72,540.97,5950.69
,Love Inc,960-75-3286,Brown and Sons,992-88-6386,79064100,05/25/2018,84.44,8.44,92.88
,Williams Group,930-72-1637,Frazier-Davis,952-75-5780,69057610,08/20/2013,15936.26,1593.63,17529.89
,Saunders-Lee,991-83-4896,Molina Inc,936-85-0485,85473134,04/24/2017,808.87,80.89,889.76
,Jones and Sons,952-76-3987,Hamilton-Simmons,992-84-7640,92919413,10/04/2020,5992.66,599.27,6591.93
,"Moran, Harris and Smith",907-77-8712,Hughes-Raymond,934-84-4841,49380136,02/21/2019,173.29,17.33,190.62
,"Henderson, Brown and Carson",975-87-2875,"Brown, Dodson and Weaver",981-79-3397,89042780,10/16/2015,1908.56,190.86,2099.42
,Miller Inc,938-92-9047,Conley-Irwin,997-98-1436,50956755,09/06/2019,29049.84,2904.98,31954.82
,"Hernandez, Barber and Jones",934-99-4537,Hall-Skinner,944-87-7634,39571754,07/03/2013,6950.20,695.02,645.22
,Daniel-Benson,991-85-2472,"Mcdonald, Jordan and Malone",925-92-0610,39077025,12/15/2011,3546.94,354.69,3901.63
,Poole-Boyle,938-78-7124,"Ray, Hurst and Cruz",924-90-5219,77015917,12/21/2017,99.95,9.99,109.94
,Fernandez LLC,984-86-2338,Brown-Carr,906-94-4177,50554106,12/17/2012,17148.75,1714.88,18863.63
,Callahan and Sons,979-84-7639,King-Harris,988-88-5388,10819011,02/09/2018,510.64,51.06,561.70
,Garcia Ltd,996-99-0521,"Anderson, Davidson and Webster",977-75-8747,49929761,02/04/2021,3459.66,345.97,3805.63
,"Logan, Deleon and Ayers",977-99-2004,Moyer-Jones,907-98-7260,92179921,10/11/2012,241.92,24.19,266.11
,Peterson LLC,909-90-0060,"Williams, Yang and Jackson",926-74-8186,23385207,06/23/2012,240.00,24.00,264.00
,Houston-Brooks,925-75-9384,"Moore, Hill and Ford",968-92-5785,19507687,09/19/2018,55626.97,5562.70,61189.67
,"Gardner, Tucker and Martinez",935-91-0274,Robbins Group,968-87-5481,61660848,05/30/2019,24.12,2.41,26.53
,"Cook, Bartlett and Giles",974-75-0354,"Smith, Herrera and Graves",943-83-6136,29534383,05/30/2017,329.34,32.93,362.27
,Mclean Inc,913-81-7541,Richards and Sons,952-95-0332,58126171,08/14/2015,30884.30,3088.43,33972.73
,Johnson-Young,937-77-5283,"Garcia, Meyer and Cook",907-73-8031,86575728,11/24/2014,906.70,90.67,997.37
,Smith-Torres,927-81-6187,"Medina, Moss and Martin",915-85-0288,76628307,05/05/2019,3084.91,308.49,3393.40
,Nichols-Powell,956-84-2083,Ballard-Henry,923-84-5244,16499996,05/05/2019,19.50,1.95,21.45
,Thomas-Andrade,972-90-5571,"Macdonald, Bentley and Nguyen",988-84-2670,61113263,02/04/2014,23935.84,2393.58,26329.42
,Lee Inc,952-96-9876,Olsen Ltd,932-73-0621,41887329,11/26/2020,17349.93,1734.99,19084.92
,Williams Ltd,964-85-1307,Gross PLC,963-76-2257,74583312,05/05/2015,634.36,63.44,697.80
,Day and Sons,908-94-9799,"Phillips, Burton and Mcdaniel",932-85-2181,23995139,05/30/2015,84944.82,8494.48,93439.30
,Horne-Fields,964-80-0842,French-Sullivan,905-94-4635,87934175,10/19/2016,97.98,9.80,107.78
,Miller Inc,909-72-0896,"Mason, Melton and Matthews",911-83-0636,64809205,08/18/2014,651.15,65.12,716.27
,"Thornton, Franklin and Hamilton",998-77-7262,"Farmer, Pennington and Osborn",997-74-8995,11637316,03/21/2015,3763.69,376.37,4140.06
,Lewis and Sons,988-97-7797,Hancock LLC,982-72-2795,39652805,03/20/2020,299.99,30.00,329.99
,Hart-Wright,953-74-2648,Foster-Parks,943-86-1330,15172184,08/24/2017,819.90,481.99,5301.89
,Jones-Silva,902-82-9449,Stafford and Sons,910-94-4040,99454334,07/08/2017,96.00,9.60,105.60
,Kirby Group,968-79-4900,Martin-Allison,943-81-3637,87873157,05/09/2017,6.00,0.60,6.60
,"Moore, Thomas and Crosby",943-88-9123,Aguirre Ltd,924-73-4934,23897213,07/14/2019,252.63,25.26,277.89
,Ross Group,929-73-9404,Leblanc and Sons,963-87-9848,60518602,08/30/2016,2334.95,233.50,2568.45
,Wilkins Ltd,928-96-4400,Ross Inc,939-96-7563,35259356,01/20/2018,629.80,62.98,692.78
,Duran Group,917-88-4853,Mayer-Bates,954-81-3871,74263194,03/28/2020,119.93,11.99,131.92
,Montgomery LLC,924-83-8802,Campbell-Flores,999-80-5625,13310164,01/16/2020,17045.00,1704.50,18749.50
,"Howell, Underwood and Davis",989-83-0730,Gardner LLC,948-94-1459,59051048,12/12/2015,267.52,26.75,294.27
